nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;kode_desa;kode_desa;nama_desa;tahun;jenis_kelamin;jumlah_buruh_pabrik;satuan
1101;Kabupaten Aceh Selatan;110102;Kluet Utara;1101022002;Krueng Batee;2024;Laki-laki;20;Jiwa
1105;Kabupaten Aceh Barat;110501;Johan Pahlawan;1105012005;Ujong Baroh;2024;Perempuan;21;Jiwa
1105;Kabupaten Aceh Barat;110504;Woyla;1105042043;Lueng Buloh;2024;Perempuan;11;Jiwa
1105;Kabupaten Aceh Barat;110510;Woyla Barat;1105102007;Blang Cot Rubek;2024;Perempuan;22;Jiwa
1106;Kabupaten Aceh Besar;110602;Lhoknga;1106022027;Meunasah Cut;2024;Perempuan;2;Jiwa
1106;Kabupaten Aceh Besar;110602;Lhoknga;1106022028;Meunasah Blang;2024;Perempuan;0;Jiwa
1106;Kabupaten Aceh Besar;110603;Indrapuri;1106032001;Reukih Dayah;2024;Perempuan;10;Jiwa
1101;Kabupaten Aceh Selatan;110102;Kluet Utara;1101022009;Pulo Kambing;2024;Laki-laki;0;Jiwa
1101;Kabupaten Aceh Selatan;110102;Kluet Utara;1101022010;Kampung Paya;2024;Laki-laki;6;Jiwa
1101;Kabupaten Aceh Selatan;110102;Kluet Utara;1101022011;Krueng Batu;2024;Laki-laki;0;Jiwa
1105;Kabupaten Aceh Barat;110512;Panton Reu;1105122017;Babah Krueng Manggie;2024;Laki-laki;1;Jiwa
1105;Kabupaten Aceh Barat;110512;Panton Reu;1105122018;Gunong Mata Ie;2024;Laki-laki;3;Jiwa
1101;Kabupaten Aceh Selatan;110102;Kluet Utara;1101022014;Kampung Tinggi;2024;Laki-laki;0;Jiwa
1101;Kabupaten Aceh Selatan;110102;Kluet Utara;1101022015;Ruak;2024;Laki-laki;5;Jiwa
1101;Kabupaten Aceh Selatan;110102;Kluet Utara;1101022016;Simpang Lhee;2024;Laki-laki;4;Jiwa
1105;Kabupaten Aceh Barat;110512;Panton Reu;1105122019;Lek-Lek;2024;Laki-laki;10;Jiwa
1106;Kabupaten Aceh Besar;110601;Lhoong;1106012001;Meunasah Krueng Kala;2024;Laki-laki;0;Jiwa
1106;Kabupaten Aceh Besar;110601;Lhoong;1106012002;Jantang;2024;Laki-laki;3;Jiwa
1101;Kabupaten Aceh Selatan;110102;Kluet Utara;1101022020;Kotafajar;2024;Laki-laki;55;Jiwa
1101;Kabupaten Aceh Selatan;110105;Meukek;1101052010;Ladang Tuha;2024;Laki-laki;0;Jiwa
1101;Kabupaten Aceh Selatan;110105;Meukek;1101052011;Lhok Mamplam;2024;Laki-laki;3;Jiwa
1101;Kabupaten Aceh Selatan;110105;Meukek;1101052012;Arun Tunggai;2024;Laki-laki;0;Jiwa
1106;Kabupaten Aceh Besar;110601;Lhoong;1106012003;Baroh Krueng Kala;2024;Laki-laki;2;Jiwa
1106;Kabupaten Aceh Besar;110601;Lhoong;1106012004;Tunong Krueng Kala;2024;Laki-laki;1;Jiwa
1106;Kabupaten Aceh Besar;110601;Lhoong;1106012005;Sungko Mulat;2024;Laki-laki;2;Jiwa
1101;Kabupaten Aceh Selatan;110105;Meukek;1101052016;Keude Meukek;2024;Laki-laki;1;Jiwa
1101;Kabupaten Aceh Selatan;110105;Meukek;1101052017;Kuta Baro;2024;Laki-laki;0;Jiwa
1104;Kabupaten Aceh Tengah;110410;Ketol;1104102002;Blang Mancung;2024;Perempuan;8;Jiwa
1104;Kabupaten Aceh Tengah;110411;Kebayakan;1104112009;Pinangan;2024;Perempuan;14;Jiwa
1104;Kabupaten Aceh Tengah;110417;Laut Tawar;1104172003;Asir Asir Asia;2024;Perempuan;3;Jiwa
1104;Kabupaten Aceh Tengah;110417;Laut Tawar;1104172004;Bale Atu;2024;Perempuan;0;Jiwa
1104;Kabupaten Aceh Tengah;110417;Laut Tawar;1104172005;Bujang;2024;Perempuan;5;Jiwa
1104;Kabupaten Aceh Tengah;110417;Laut Tawar;1104172006;Gunung Suku;2024;Perempuan;0;Jiwa
1101;Kabupaten Aceh Selatan;110107;Sawang;1101072010;Simpang Tiga;2024;Laki-laki;2;Jiwa
1101;Kabupaten Aceh Selatan;110107;Sawang;1101072007;Trieng Meuduro Baroh;2024;Laki-laki;3;Jiwa
1101;Kabupaten Aceh Selatan;110108;Tapaktuan;1101082013;Panjupian;2024;Laki-laki;1;Jiwa
